MDM2	UBC
MGST1	MGST2
MGST1	TXNDC12
MGST2	PTGES
MGST2	TXNDC12
MIF4GD	SLBP
MNAT1	POLR2C
MPRIP	PPP1R12A
MRPL10	MRPL13
MRPL10	MRPL45
MRPL10	MRPL47
MRPL10	MRPL49
MRPL10	MRPS18A
MRPL10	MTIF2
MRPL13	MRPL35
MRPL13	MRPL45
MRPL13	MRPL47
MRPL13	MRPL49
MRPL13	MRPS18A
MRPL13	MRTO4
MRPL13	MTIF2
MRPL13	POLR2C
MRPL13	RPL28
MRPL13	RPL7A
MRPL13	RPS27L
MRPL13	RPS4X
MRPL13	RPS4Y1
MRPL45	MRPS18A
MRPL45	MTIF2
MRPL47	MTIF2
MRPL49	MRPS18A
MRPL49	MTIF2
MRPS18A	MTIF2
MRTO4	RPL22L1
MRTO4	RPL28
MRTO4	RPS27L
MRTO4	WDR43
MT-ATP6	MT-ND1
MT-ATP6	MT-ND5
MT-ATP6	MT-ND6
MT-ND1	MT-ND5
MT-ND1	MT-ND6
MT-ND1	NDUFA10
MT-ND1	NDUFA9
MT-ND1	NDUFAF4
MT-ND1	PPP1R15A
MT-ND5	MT-ND6
MT-ND5	NDUFA10
MT-ND5	NDUFA9
MT-ND6	NDUFA10
MT-ND6	NDUFA9
MT-ND6	NDUFAF4
MTHFD2	SHMT2
MYH9	MYL12A
MYH9	MYL12B
MYH9	RDX
MYH9	S100A4
MYL12A	MYL12B
MYL12A	PPP1CB
MYL12A	PPP1R12A
MYL12B	PPP1CB
MYL12B	PPP1R12A
NASP	SLBP
NCL	NOLC1
NCL	NPM1
NCL	SSB
NCL	TP53
NCL	UBTF
NCL	XRCC6
NDUFA10	NDUFA9
NDUFA10	NDUFAF4
NDUFA9	NDUFAF4
NOLC1	PHAX
NOLC1	TCOF1
NOLC1	WDR43
NPM1	PA2G4
NPM1	PLK2
NPM1	RAN
NPM1	RUVBL1
NPM1	TP53
NPM1	TPM4
NPM1	UBTF
NQO1	ODC1
NQO1	TXN
ODC1	SAT1
PA2G4	RPL28
PBK	UBE2T
PDIA6	PRDX4
PHAX	RAN
PHGDH	PSAT1
